date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
3/16/2025,29,Chelsea,12,n/a,Declan Rice,off target,0.08,right,yes,right halfspace,recovery,positional,n/a,n/a,n/a,n/a,normal,0,2,close,straight,n/a,no,no,4,mid,n/a,organized,5,yes,no,4231,
3/16/2025,29,Chelsea,13,3,Declan Rice,off target,0.01,right,yes,right halfspace,normal pass,positional,Martin Odegaard,normal pass,Gabriel Martinelli,normal pass,normal,1,8,far,straight,n/a,no,yes,2,mid,n/a,organized,0,no,no,4231,
3/16/2025,29,Chelsea,18,8,Leandro Trossard,off target,0.06,right,yes,right,dribble,positional,n/a,n/a,n/a,n/a,normal,1,4,close,straight,Jurrien Timber,no,no,2,low,n/a,organized,8,no,no,4231,deflected cross from Timber falls to Trossard
3/16/2025,29,Chelsea,20,n/a,Mikel Merino,goal,0.05,head,no,right corner,set piece,set piece,n/a,n/a,Martin Odegaard,corner,header,0,1,very close,narrow,n/a,no,yes,3,low,n/a,organized,10,no,no,4231,
3/16/2025,29,Chelsea,34,4,Gabriel Martinelli,off target,0.05,right,yes,middle,normal pass,transition,Gabriel,duel,Martin Odegaard,normal pass,normal,1,3,close,wide,n/a,no,yes,1,mid,n/a,organized,4,yes,no,4231,
3/16/2025,29,Chelsea,60,9,Mikel Merino,saved,0.09,left,yes,right halfspace,recovery,positional,Leandro Trossard,normal pass,Gabriel Martinelli,floated cross,volley,0,2,close,straight,n/a,no,no,2,low,n/a,organized,7,no,no,4231,
3/16/2025,29,Chelsea,64,5,Martin Odegaard,saved,0.1,left,yes,left,through ball,positional,Mikel Merino,through ball,Declan Rice,normal pass,normal,1,2,close,straight,n/a,no,no,1,mid,n/a,organized,6,no,no,4231,
4/1/2025,30,Fulham,6,4,Declan Rice,blocked,0.08,right,yes,left,dribble,positional,n/a,n/a,Gabriel Martinelli,cutback,normal,0,4,close,wide,Gabriel Martinelli,no,yes,2,low,n/a,organized,8,no,no,541,
4/1/2025,30,Fulham,6,6,Thomas Partey,off target,0.05,right,yes,left,dribble,positional,n/a,n/a,n/a,n/a,normal,1,5,medium,straight,Gabriel Martinelli,no,yes,4,low,n/a,organized,8,no,no,541,
4/1/2025,30,Fulham,21,7,Ethan Nwaneri,saved,0.05,left,yes,left,dribble,positional,Myles Lewis-Skelly,normal pass,Gabriel Martinelli,floated cross,volley,0,2,close,straight,Gabriel Martinelli,no,yes,1,low,n/a,organized,7,no,no,541,
